nad,folinic_acid,DNA,coa,RBS,peg,nucleo_mix,spermidin,pga,aa,trna,mg_gluta,hepes,camp,K_gluta,promoter,value_1,value_2,value_3,well_1,well_2,well_3,mean,std,yield,yield_std,plaque_name
0.165,0.068,50,0.078,10,2,1.5,0.1,9,1.5,0.02,4,50,0.075,80,10,41541,42154,42023,N5,N10,N15,41906,263.6,2.1689,0.0144,example
0.033,0.068,50,0.13,10,2,1.5,0.1,9,1.5,0.06,4,50,0.075,80,10,40331,40628,38367,N6,N11,N16,39775.3,1003.2,2.0523,0.0549,example
0.099,0.0204,50,0.078,10,2,1.5,0.1,9,1.5,0.2,4,50,0.075,80,10,42120,41656,40443,N7,N12,N17,41406.3,707,2.1416,0.0387,example
0.033,0.0068,50,0.078,10,2,1.5,0.1,9,1.5,0.2,4,50,0.375,80,10,38248,38591,40684,N8,N13,N18,39174.3,1076.6,2.0194,0.0589,example
0.33,0.0068,50,0.078,10,2,1.5,0.1,9,1.5,0.02,4,50,0.375,80,10,39467,39345,36260,N9,N14,N19,38357.3,1483.9,1.9747,0.0812,example
0.33,0.0068,50,0.078,10,2,1.5,0.1,9,1.5,0.1,4,50,0.225,80,10,39781,39460,39959,N20,N22,O2,39733.3,206.5,2.05,0.0113,example
0.33,0.034,50,0.078,10,2,1.5,0.1,9,1.5,0.06,4,50,0.075,80,10,37917,39109,40292,N21,N23,O3,39106,969.6,2.0157,0.0531,example
0.165,0.034,50,0.078,10,2,1.5,0.1,9,1.5,0.1,4,50,0.375,80,10,39366,38687,38278,O4,O5,O6,38777,448.7,1.9977,0.0246,example
0.165,0.068,50,0.078,10,2,1.5,0.3,9,1.5,0.06,4,50,0.075,80,10,34861,33926,33013,O7,O9,O11,33933.3,754.5,1.7326,0.0413,example
0.099,0.068,50,0.078,10,2,1.5,0.1,9,1.5,0.1,4,50,0.225,80,10,36748,39646,41038,O8,O10,O12,39144,1787,2.0178,0.0978,example
0.33,0.0204,50,0.026,10,2,1.5,0.1,9,1.5,0.2,4,50,0.375,80,10,39446,41793,40043,O13,O14,O15,40427.3,996,2.088,0.0545,example
0.33,0.068,50,0.26,10,2,1.5,0.1,30,1.5,0.2,4,50,0.75,80,10,5276,5316,5223,O16,O17,O18,5271.7,38.1,0.1639,0.0021,example
0.33,0.068,50,0.26,10,2,0.45,1,30,1.5,0.2,4,50,0.75,80,10,1870,1971,1914,O19,O20,O21,1918.3,41.3,-0.0197,0.0023,example
0.165,0.034,50,0.026,10,2,0.75,0.5,15,0.45,0.02,2,50,0.225,40,10,15449,16778,15758,P2,P9,P16,15995,567.9,0.7508,0.0311,example
0.099,0.034,50,0.026,10,2,0.75,0.3,15,0.75,0.02,1.2,50,0.375,40,10,21822,19555,20269,P3,P10,P17,20548.7,946.4,1,0.0518,example
0.165,0.0204,50,0.078,10,2,0.75,0.5,9,0.15,0.02,0.4,50,0.375,40,10,12598,11099,10872,P4,P11,P18,11523,765.8,0.506,0.0419,example
0.033,0.0068,50,0.026,10,2,0.75,0.3,15,0.75,0.02,2,50,0.375,24,10,21355,15024,18927,P5,P12,P19,18435.3,2607.9,0.8843,0.1427,example
0.165,0.068,50,0.026,10,2,1.5,0.1,9,1.5,0.06,4,50,0.075,80,10,43693,45168,40668,P6,P13,P20,43176.3,1873.1,2.2385,0.1025,example
0.099,0.034,50,0.026,10,2,1.5,0.1,9,1.5,0.1,4,50,0.075,80,10,41290,37721,39981,P7,P14,P21,39664,1474.2,2.0462,0.0807,example
0.033,0.0204,50,0.078,10,2,1.5,0.1,9,1.5,0.06,4,50,0.075,80,10,39357,38200,36931,P8,P15,P22,38162.7,990.8,1.9641,0.0542,example
