name,extract_vol,mg_gluta_vol,k_gluta_vol,aa_vol,peg_vol,hepes_vol,trna_vol,coa_vol,nad_vol,camp_vol,folinic_acid_vol,spermidine_vol,pga_vol,nucleo_mix_vol,dna_high_high_vol,dna_high_low_vol,dna_low_high_vol,dna_low_low_vol,water_vol
D21,3.52,0.125,0.125,0.2625,0.525,0.25,0.0125,0.0375,0.0625,0.0125,0.0625,0.0375,0.1125,0.0625,1.75,0.0,0.0,0.0,3.5425
D22,3.52,0.125,0.125,0.2625,0.525,0.25,0.0625,0.0625,0.0125,0.0125,0.0375,0.0375,0.1125,0.0625,1.75,0.0,0.0,0.0,3.5425
D23,3.52,0.125,0.125,0.2625,0.525,0.25,0.0125,0.0375,0.0625,0.0125,0.0625,0.0375,0.1125,0.0625,1.75,0.0,0.0,0.0,3.5425
E2,3.52,0.125,0.125,0.2625,0.525,0.25,0.0375,0.0375,0.0375,0.0375,0.0625,0.0375,0.1125,0.0625,1.75,0.0,0.0,0.0,3.5175
E3,3.52,0.125,0.125,0.2625,0.525,0.25,0.0375,0.0375,0.0375,0.0375,0.0625,0.0375,0.1125,0.0625,1.75,0.0,0.0,0.0,3.5175
E4,3.52,0.125,0.125,0.2625,0.525,0.25,0.0375,0.0375,0.0375,0.0375,0.0625,0.0375,0.1125,0.0625,1.75,0.0,0.0,0.0,3.5175
E5,3.52,0.25,0.25,0.2625,0.525,0.25,0.0375,0.0125,0.0125,0.0125,0.0125,0.0125,0.0675,0.125,1.75,0.0,0.0,0.0,3.4
E6,3.52,0.25,0.25,0.2625,0.525,0.25,0.0375,0.0125,0.0125,0.0125,0.0125,0.0125,0.0675,0.125,1.75,0.0,0.0,0.0,3.4
E7,3.52,0.25,0.25,0.2625,0.525,0.25,0.0375,0.0125,0.0125,0.0125,0.0125,0.0125,0.0675,0.125,1.75,0.0,0.0,0.0,3.4
E8,3.52,0.25,0.25,0.2625,0.525,0.25,0.0125,0.0375,0.0625,0.0125,0.0375,0.0125,0.0675,0.125,1.75,0.0,0.0,0.0,3.325
E9,3.52,0.25,0.25,0.2625,0.525,0.25,0.0375,0.0125,0.0375,0.0125,0.0625,0.0125,0.0675,0.125,1.75,0.0,0.0,0.0,3.325
E10,3.52,0.25,0.25,0.2625,0.525,0.25,0.0125,0.0375,0.0625,0.0125,0.0375,0.0125,0.0675,0.125,1.75,0.0,0.0,0.0,3.325
E11,3.52,0.25,0.25,0.2625,0.525,0.25,0.0375,0.0125,0.0375,0.0125,0.0625,0.0125,0.0675,0.125,1.75,0.0,0.0,0.0,3.325
E12,3.52,0.25,0.25,0.2625,0.525,0.25,0.0125,0.0375,0.0625,0.0125,0.0375,0.0125,0.0675,0.125,1.75,0.0,0.0,0.0,3.325
E13,3.52,0.25,0.25,0.2625,0.525,0.25,0.0375,0.0125,0.0375,0.0125,0.0625,0.0125,0.0675,0.125,1.75,0.0,0.0,0.0,3.325
