# nad,folinic_acid,coa,nucleo_mix,spermidin,pga,aa,trna,mg_gluta,camp,K_gluta,y_data,y_data_std,y_pr,y_std_pr
0.033,0.034,0.026,0.75,0.3,3,0.15,0.06,1.2,0.075,40,1.0237,0.0193,1.122577,0.03625
0.033,0.034,0.026,0.75,0.3,3,0.15,0.06,2,0.075,24,0.7582,0.0033,0.909264,0.052502
0.033,0.034,0.078,0.75,0.3,3,0.15,0.02,2,0.075,24,0.7141,0.0388,0.895251,0.040238
0.033,0.034,0.026,0.45,0.5,3,0.15,0.06,1.2,0.075,40,0.5999,0.0139,0.773049,0.060407
0.033,0.034,0.026,0.75,0.3,9,0.15,0.02,1.2,0.075,40,1.1887,0.0445,1.123941,0.032277
0.033,0.034,0.026,0.75,0.3,9,0.15,0.1,1.2,0.075,24,0.8497,0.0054,0.887226,0.037473
0.033,0.034,0.026,0.75,0.3,3,0.15,0.1,2,0.075,24,0.7496,0.0389,0.911335,0.058236
0.099,0.034,0.026,0.75,0.5,3,0.15,0.02,1.2,0.075,40,1.0153,0.0352,0.940814,0.056675
0.033,0.034,0.078,0.75,0.5,3,0.15,0.1,2,0.075,8,0.4585,0.0164,0.470974,0.047665
0.033,0.034,0.078,0.75,0.5,3,0.15,0.1,1.2,0.075,24,0.641,0.011,0.693322,0.045542
0.099,0.034,0.026,0.75,0.5,3,0.15,0.1,2,0.075,8,0.4374,0.0081,0.487056,0.050839
0.033,0.034,0.026,0.75,0.5,3,0.15,0.02,2,0.225,24,0.7063,0.0175,0.683948,0.054523
0.033,0.034,0.026,0.75,0.5,3,0.15,0.1,2,0.225,8,0.4925,0.0112,0.475266,0.041101
0.033,0.034,0.026,0.75,0.5,9,0.15,0.02,1.2,0.075,40,1.0668,0.0087,1.030698,0.040996
0.033,0.034,0.026,0.75,0.3,9,0.15,0.06,1.2,0.075,40,1.1033,0.0156,1.143325,0.028514
0.033,0.034,0.078,0.75,0.5,3,0.15,0.06,1.2,0.075,40,0.8882,0.0317,0.901298,0.050953
