nad,folinic_acid,DNA,coa,RBS,peg,nucleo_mix,spermidin,pga,aa,trna,mg_gluta,hepes,camp,K_gluta,promoter,yield,yield_std,plaque_name,well_1,yield_to_PS,std_to_PS,yield_to_ORI,std_to_ORI
0.165,0.0204,50,0.078,10,2,1.5,0.1,9,0.75,0.02,4,50,0.375,40,10,2.4821,0.1064,rifaxamin,L2,0.193747,0.007448,0.23055893,0.00886312
0.165,0.034,50,0.078,10,2,1.5,0.1,9,0.75,0.02,4,50,0.075,40,10,2.5026,0.0369,rifaxamin,K17,0.195182,0.002583,0.23226658,0.00307377
0.165,0.0068,50,0.078,10,2,1.5,0.1,9,0.45,0.02,4,50,0.075,40,10,2.5029,0.0114,rifaxamin,I16,0.195203,0.000798,0.23229157,0.00094962
0.033,0.0068,50,0.026,10,2,1.5,0.3,9,1.5,0.2,4,50,0.075,40,10,2.5399,0.0246,rifaxamin,M18,0.197793,0.001722,0.23537367,0.00204918
0.165,0.068,50,0.078,10,2,1.5,0.3,9,1.5,0.06,4,50,0.075,40,10,2.5422,0.0957,rifaxamin,O7,0.197954,0.006699,0.23556526,0.00797181
0.33,0.0068,50,0.026,10,2,1.5,0.1,9,0.45,0.1,4,50,0.075,40,10,2.6104,0.0278,rifaxamin,J10,0.202728,0.001946,0.24124632,0.00231574
0.099,0.0068,50,0.078,10,2,1.5,0.1,9,0.75,0.2,4,50,0.225,40,10,2.6158,0.041,rifaxamin,L10,0.203106,0.00287,0.24169614,0.0034153
0.099,0.034,50,0.026,10,2,1.5,0.1,9,0.75,0.2,4,50,0.075,40,10,2.6183,0.1062,rifaxamin,L11,0.203281,0.007434,0.24190439,0.00884646
0.33,0.0068,50,0.078,10,2,1.5,0.1,9,0.75,0.1,4,50,0.075,40,10,2.6625,0.023,rifaxamin,L12,0.206375,0.00161,0.24558625,0.0019159
0.165,0.0068,50,0.026,10,2,1.5,0.3,9,1.5,0.1,4,50,0.075,40,10,2.6994,0.0327,rifaxamin,M15,0.208958,0.002289,0.24866002,0.00272391
0.033,0.0204,50,0.026,10,2,1.5,0.1,9,1.5,0.1,2,50,0.075,40,10,2.7198,0.0382,rifaxamin,L19,0.210386,0.002674,0.25035934,0.00318206
0.033,0.034,50,0.026,10,2,1.5,0.1,9,1.5,0.06,2,50,0.075,40,10,2.748,0.0814,rifaxamin,L20,0.21236,0.005698,0.2527084,0.00678062
0.033,0.068,50,0.13,10,2,1.5,0.1,9,1.5,0.06,4,50,0.075,40,10,2.8281,0.0483,rifaxamin,N6,0.217967,0.003381,0.25938073,0.00402339
0.033,0.034,50,0.026,10,2,1.5,0.1,9,1.5,0.02,4,50,0.075,40,10,2.9347,0.0022,rifaxamin,M3,0.225429,0.000154,0.26826051,0.00018326
0.033,0.0204,50,0.026,10,2,1.5,0.1,9,1.5,0.02,4,50,0.225,40,10,2.9598,0.0442,rifaxamin,M4,0.227186,0.003094,0.27035134,0.00368186
