nad,folinic_acid,DNA,coa,RBS,peg,nucleo_mix,spermidin,pga,aa,trna,mg_gluta,hepes,camp,K_gluta,promoter,yield,yield_std,plaque_name,well_1,normalised_yield,normalised_std
0.33,0.034,50,0.078,10,2,1.5,0.1,9,1.5,0.06,4,50,0.075,40,10,2.0157,0.0531,PS_full,N21,2.680253,0.068499
0.165,0.034,50,0.078,10,2,1.5,0.1,9,1.5,0.1,4,50,0.375,40,10,1.9977,0.0246,PS_full,O4,2.657033,0.031734
0.165,0.068,50,0.078,10,2,1.5,0.3,9,1.5,0.06,4,50,0.075,40,10,1.7326,0.0413,PS_full,O7,2.315054,0.053277
0.099,0.068,50,0.078,10,2,1.5,0.1,9,1.5,0.1,4,50,0.225,40,10,2.0178,0.0978,PS_full,O8,2.682962,0.126162
0.33,0.0204,50,0.026,10,2,1.5,0.1,9,1.5,0.2,4,50,0.375,40,10,2.088,0.0545,PS_full,O13,2.77352,0.070305
0.33,0.068,50,0.26,10,2,1.5,0.1,30,1.5,0.2,4,50,0.75,40,10,0.1639,0.0021,PS_full,O16,0.291431,0.002709
0.33,0.068,50,0.26,10,2,0.45,1,30,1.5,0.2,4,50,0.75,40,10,-0.0197,0.0023,PS_full,O19,0.054587,0.002967
0.165,0.034,50,0.026,10,2,0.75,0.5,15,0.45,0.02,2,50,0.225,20,10,0.7508,0.0311,PS_full,P2,1.048532,0.040119
0.099,0.034,50,0.026,10,2,0.75,0.3,15,0.75,0.02,1.2,50,0.375,20,10,1,0.0518,PS_full,P3,1.37,0.066822
0.165,0.0204,50,0.078,10,2,0.75,0.5,9,0.15,0.02,0.4,50,0.375,20,10,0.506,0.0419,PS_full,P4,0.73274,0.054051
0.033,0.0068,50,0.026,10,2,0.75,0.3,15,0.75,0.02,2,50,0.375,12,10,0.8843,0.1427,PS_full,P5,1.220747,0.184083
0.165,0.068,50,0.026,10,2,1.5,0.1,9,1.5,0.06,4,50,0.075,40,10,2.2385,0.1025,PS_full,P6,2.967665,0.132225
0.099,0.034,50,0.026,10,2,1.5,0.1,9,1.5,0.1,4,50,0.075,40,10,2.0462,0.0807,PS_full,P7,2.719598,0.104103
0.033,0.0204,50,0.078,10,2,1.5,0.1,9,1.5,0.06,4,50,0.075,40,10,1.9641,0.0542,PS_full,P8,2.613689,0.069918
