original_plate,repeated_plate,Name_original,Name_repeated,Mean_original,Std_original,Mean_repeated,Std_repeated,nad,folinic_acid,DNA,coa,peg,RBS,nucleo_mix,spermidin,pga,aa,trna,mg_gluta,hepes,camp,K_gluta,promoter
plate_AL_8,plate_AL_9,P5,P5,0.8646,0.1588,0.8511,0.0331,0.033,0.0068,50,0.026,2,10,0.75,0.3,15,0.75,0.02,2,50,0.375,24,10
plate_AL_8,plate_AL_10,P5,P5,0.8646,0.1588,0.9898,0.0402,0.033,0.0068,50,0.026,2,10,0.75,0.3,15,0.75,0.02,2,50,0.375,24,10
plate_AL_9,plate_AL_10,P5,P5,0.8511,0.0331,0.9898,0.0402,0.033,0.0068,50,0.026,2,10,0.75,0.3,15,0.75,0.02,2,50,0.375,24,10
plate_AL_1,plate_AL_2,M6,P3,1,0.021,1,0.0239,0.099,0.034,50,0.026,2,10,0.75,0.3,15,0.75,0.02,1.2,50,0.375,40,10
plate_AL_1,plate_AL_3,M6,P3,1,0.021,1,0.0358,0.099,0.034,50,0.026,2,10,0.75,0.3,15,0.75,0.02,1.2,50,0.375,40,10
plate_AL_1,plate_AL_4,M6,P3,1,0.021,1,0.117,0.099,0.034,50,0.026,2,10,0.75,0.3,15,0.75,0.02,1.2,50,0.375,40,10
plate_AL_1,plate_AL_5,M6,P3,1,0.021,1,0.0992,0.099,0.034,50,0.026,2,10,0.75,0.3,15,0.75,0.02,1.2,50,0.375,40,10
plate_AL_1,plate_AL_6,M6,P3,1,0.021,1,0.0568,0.099,0.034,50,0.026,2,10,0.75,0.3,15,0.75,0.02,1.2,50,0.375,40,10
plate_AL_1,plate_AL_7,M6,P3,1,0.021,1,0.1547,0.099,0.034,50,0.026,2,10,0.75,0.3,15,0.75,0.02,1.2,50,0.375,40,10
plate_AL_1,plate_AL_8,M6,P3,1,0.021,1,0.1059,0.099,0.034,50,0.026,2,10,0.75,0.3,15,0.75,0.02,1.2,50,0.375,40,10
plate_AL_1,plate_AL_9,M6,P3,1,0.021,1,0.0207,0.099,0.034,50,0.026,2,10,0.75,0.3,15,0.75,0.02,1.2,50,0.375,40,10
plate_AL_1,plate_AL_10,M6,P3,1,0.021,1,0.049,0.099,0.034,50,0.026,2,10,0.75,0.3,15,0.75,0.02,1.2,50,0.375,40,10
plate_AL_2,plate_AL_3,P3,P3,1,0.0239,1,0.0358,0.099,0.034,50,0.026,2,10,0.75,0.3,15,0.75,0.02,1.2,50,0.375,40,10
plate_AL_2,plate_AL_4,P3,P3,1,0.0239,1,0.117,0.099,0.034,50,0.026,2,10,0.75,0.3,15,0.75,0.02,1.2,50,0.375,40,10
plate_AL_2,plate_AL_5,P3,P3,1,0.0239,1,0.0992,0.099,0.034,50,0.026,2,10,0.75,0.3,15,0.75,0.02,1.2,50,0.375,40,10
plate_AL_2,plate_AL_6,P3,P3,1,0.0239,1,0.0568,0.099,0.034,50,0.026,2,10,0.75,0.3,15,0.75,0.02,1.2,50,0.375,40,10
plate_AL_2,plate_AL_7,P3,P3,1,0.0239,1,0.1547,0.099,0.034,50,0.026,2,10,0.75,0.3,15,0.75,0.02,1.2,50,0.375,40,10
plate_AL_2,plate_AL_8,P3,P3,1,0.0239,1,0.1059,0.099,0.034,50,0.026,2,10,0.75,0.3,15,0.75,0.02,1.2,50,0.375,40,10
plate_AL_2,plate_AL_9,P3,P3,1,0.0239,1,0.0207,0.099,0.034,50,0.026,2,10,0.75,0.3,15,0.75,0.02,1.2,50,0.375,40,10
plate_AL_2,plate_AL_10,P3,P3,1,0.0239,1,0.049,0.099,0.034,50,0.026,2,10,0.75,0.3,15,0.75,0.02,1.2,50,0.375,40,10
plate_AL_3,plate_AL_4,P3,P3,1,0.0358,1,0.117,0.099,0.034,50,0.026,2,10,0.75,0.3,15,0.75,0.02,1.2,50,0.375,40,10
plate_AL_3,plate_AL_5,P3,P3,1,0.0358,1,0.0992,0.099,0.034,50,0.026,2,10,0.75,0.3,15,0.75,0.02,1.2,50,0.375,40,10
plate_AL_3,plate_AL_6,P3,P3,1,0.0358,1,0.0568,0.099,0.034,50,0.026,2,10,0.75,0.3,15,0.75,0.02,1.2,50,0.375,40,10
plate_AL_3,plate_AL_7,P3,P3,1,0.0358,1,0.1547,0.099,0.034,50,0.026,2,10,0.75,0.3,15,0.75,0.02,1.2,50,0.375,40,10
plate_AL_3,plate_AL_8,P3,P3,1,0.0358,1,0.1059,0.099,0.034,50,0.026,2,10,0.75,0.3,15,0.75,0.02,1.2,50,0.375,40,10
plate_AL_3,plate_AL_9,P3,P3,1,0.0358,1,0.0207,0.099,0.034,50,0.026,2,10,0.75,0.3,15,0.75,0.02,1.2,50,0.375,40,10
plate_AL_3,plate_AL_10,P3,P3,1,0.0358,1,0.049,0.099,0.034,50,0.026,2,10,0.75,0.3,15,0.75,0.02,1.2,50,0.375,40,10
plate_AL_4,plate_AL_5,P3,P3,1,0.117,1,0.0992,0.099,0.034,50,0.026,2,10,0.75,0.3,15,0.75,0.02,1.2,50,0.375,40,10
plate_AL_4,plate_AL_6,P3,P3,1,0.117,1,0.0568,0.099,0.034,50,0.026,2,10,0.75,0.3,15,0.75,0.02,1.2,50,0.375,40,10
plate_AL_4,plate_AL_7,P3,P3,1,0.117,1,0.1547,0.099,0.034,50,0.026,2,10,0.75,0.3,15,0.75,0.02,1.2,50,0.375,40,10
plate_AL_4,plate_AL_8,P3,P3,1,0.117,1,0.1059,0.099,0.034,50,0.026,2,10,0.75,0.3,15,0.75,0.02,1.2,50,0.375,40,10
plate_AL_4,plate_AL_9,P3,P3,1,0.117,1,0.0207,0.099,0.034,50,0.026,2,10,0.75,0.3,15,0.75,0.02,1.2,50,0.375,40,10
plate_AL_4,plate_AL_10,P3,P3,1,0.117,1,0.049,0.099,0.034,50,0.026,2,10,0.75,0.3,15,0.75,0.02,1.2,50,0.375,40,10
plate_AL_5,plate_AL_6,P3,P3,1,0.0992,1,0.0568,0.099,0.034,50,0.026,2,10,0.75,0.3,15,0.75,0.02,1.2,50,0.375,40,10
plate_AL_5,plate_AL_7,P3,P3,1,0.0992,1,0.1547,0.099,0.034,50,0.026,2,10,0.75,0.3,15,0.75,0.02,1.2,50,0.375,40,10
plate_AL_5,plate_AL_8,P3,P3,1,0.0992,1,0.1059,0.099,0.034,50,0.026,2,10,0.75,0.3,15,0.75,0.02,1.2,50,0.375,40,10
plate_AL_5,plate_AL_9,P3,P3,1,0.0992,1,0.0207,0.099,0.034,50,0.026,2,10,0.75,0.3,15,0.75,0.02,1.2,50,0.375,40,10
plate_AL_5,plate_AL_10,P3,P3,1,0.0992,1,0.049,0.099,0.034,50,0.026,2,10,0.75,0.3,15,0.75,0.02,1.2,50,0.375,40,10
plate_AL_6,plate_AL_7,P3,P3,1,0.0568,1,0.1547,0.099,0.034,50,0.026,2,10,0.75,0.3,15,0.75,0.02,1.2,50,0.375,40,10
plate_AL_6,plate_AL_8,P3,P3,1,0.0568,1,0.1059,0.099,0.034,50,0.026,2,10,0.75,0.3,15,0.75,0.02,1.2,50,0.375,40,10
plate_AL_6,plate_AL_9,P3,P3,1,0.0568,1,0.0207,0.099,0.034,50,0.026,2,10,0.75,0.3,15,0.75,0.02,1.2,50,0.375,40,10
plate_AL_6,plate_AL_10,P3,P3,1,0.0568,1,0.049,0.099,0.034,50,0.026,2,10,0.75,0.3,15,0.75,0.02,1.2,50,0.375,40,10
plate_AL_7,plate_AL_8,P3,P3,1,0.1547,1,0.1059,0.099,0.034,50,0.026,2,10,0.75,0.3,15,0.75,0.02,1.2,50,0.375,40,10
plate_AL_7,plate_AL_9,P3,P3,1,0.1547,1,0.0207,0.099,0.034,50,0.026,2,10,0.75,0.3,15,0.75,0.02,1.2,50,0.375,40,10
plate_AL_7,plate_AL_10,P3,P3,1,0.1547,1,0.049,0.099,0.034,50,0.026,2,10,0.75,0.3,15,0.75,0.02,1.2,50,0.375,40,10
plate_AL_8,plate_AL_9,P3,P3,1,0.1059,1,0.0207,0.099,0.034,50,0.026,2,10,0.75,0.3,15,0.75,0.02,1.2,50,0.375,40,10
plate_AL_8,plate_AL_10,P3,P3,1,0.1059,1,0.049,0.099,0.034,50,0.026,2,10,0.75,0.3,15,0.75,0.02,1.2,50,0.375,40,10
plate_AL_9,plate_AL_10,P3,P3,1,0.0207,1,0.049,0.099,0.034,50,0.026,2,10,0.75,0.3,15,0.75,0.02,1.2,50,0.375,40,10
plate_AL_1,plate_AL_2,J6,P2,1.006,0.0393,1.0723,0.0566,0.165,0.034,50,0.026,2,10,0.75,0.5,15,0.45,0.02,2,50,0.225,40,10
plate_AL_1,plate_AL_3,J6,P2,1.006,0.0393,0.8836,0.2705,0.165,0.034,50,0.026,2,10,0.75,0.5,15,0.45,0.02,2,50,0.225,40,10
plate_AL_1,plate_AL_4,J6,P2,1.006,0.0393,1.0299,0.1782,0.165,0.034,50,0.026,2,10,0.75,0.5,15,0.45,0.02,2,50,0.225,40,10
plate_AL_1,plate_AL_5,J6,P2,1.006,0.0393,0.7334,0.2198,0.165,0.034,50,0.026,2,10,0.75,0.5,15,0.45,0.02,2,50,0.225,40,10
plate_AL_1,plate_AL_6,J6,P2,1.006,0.0393,0.7878,0.0473,0.165,0.034,50,0.026,2,10,0.75,0.5,15,0.45,0.02,2,50,0.225,40,10
plate_AL_1,plate_AL_7,J6,P2,1.006,0.0393,0.895,0.0785,0.165,0.034,50,0.026,2,10,0.75,0.5,15,0.45,0.02,2,50,0.225,40,10
plate_AL_1,plate_AL_8,J6,P2,1.006,0.0393,0.9066,0.0457,0.165,0.034,50,0.026,2,10,0.75,0.5,15,0.45,0.02,2,50,0.225,40,10
plate_AL_1,plate_AL_9,J6,P2,1.006,0.0393,0.7122,0.0445,0.165,0.034,50,0.026,2,10,0.75,0.5,15,0.45,0.02,2,50,0.225,40,10
plate_AL_1,plate_AL_10,J6,P2,1.006,0.0393,0.6798,0.0516,0.165,0.034,50,0.026,2,10,0.75,0.5,15,0.45,0.02,2,50,0.225,40,10
plate_AL_2,plate_AL_3,P2,P2,1.0723,0.0566,0.8836,0.2705,0.165,0.034,50,0.026,2,10,0.75,0.5,15,0.45,0.02,2,50,0.225,40,10
plate_AL_2,plate_AL_4,P2,P2,1.0723,0.0566,1.0299,0.1782,0.165,0.034,50,0.026,2,10,0.75,0.5,15,0.45,0.02,2,50,0.225,40,10
plate_AL_2,plate_AL_5,P2,P2,1.0723,0.0566,0.7334,0.2198,0.165,0.034,50,0.026,2,10,0.75,0.5,15,0.45,0.02,2,50,0.225,40,10
plate_AL_2,plate_AL_6,P2,P2,1.0723,0.0566,0.7878,0.0473,0.165,0.034,50,0.026,2,10,0.75,0.5,15,0.45,0.02,2,50,0.225,40,10
plate_AL_2,plate_AL_7,P2,P2,1.0723,0.0566,0.895,0.0785,0.165,0.034,50,0.026,2,10,0.75,0.5,15,0.45,0.02,2,50,0.225,40,10
plate_AL_2,plate_AL_8,P2,P2,1.0723,0.0566,0.9066,0.0457,0.165,0.034,50,0.026,2,10,0.75,0.5,15,0.45,0.02,2,50,0.225,40,10
plate_AL_2,plate_AL_9,P2,P2,1.0723,0.0566,0.7122,0.0445,0.165,0.034,50,0.026,2,10,0.75,0.5,15,0.45,0.02,2,50,0.225,40,10
plate_AL_2,plate_AL_10,P2,P2,1.0723,0.0566,0.6798,0.0516,0.165,0.034,50,0.026,2,10,0.75,0.5,15,0.45,0.02,2,50,0.225,40,10
plate_AL_3,plate_AL_4,P2,P2,0.8836,0.2705,1.0299,0.1782,0.165,0.034,50,0.026,2,10,0.75,0.5,15,0.45,0.02,2,50,0.225,40,10
plate_AL_3,plate_AL_5,P2,P2,0.8836,0.2705,0.7334,0.2198,0.165,0.034,50,0.026,2,10,0.75,0.5,15,0.45,0.02,2,50,0.225,40,10
plate_AL_3,plate_AL_6,P2,P2,0.8836,0.2705,0.7878,0.0473,0.165,0.034,50,0.026,2,10,0.75,0.5,15,0.45,0.02,2,50,0.225,40,10
plate_AL_3,plate_AL_7,P2,P2,0.8836,0.2705,0.895,0.0785,0.165,0.034,50,0.026,2,10,0.75,0.5,15,0.45,0.02,2,50,0.225,40,10
plate_AL_3,plate_AL_8,P2,P2,0.8836,0.2705,0.9066,0.0457,0.165,0.034,50,0.026,2,10,0.75,0.5,15,0.45,0.02,2,50,0.225,40,10
plate_AL_3,plate_AL_9,P2,P2,0.8836,0.2705,0.7122,0.0445,0.165,0.034,50,0.026,2,10,0.75,0.5,15,0.45,0.02,2,50,0.225,40,10
plate_AL_3,plate_AL_10,P2,P2,0.8836,0.2705,0.6798,0.0516,0.165,0.034,50,0.026,2,10,0.75,0.5,15,0.45,0.02,2,50,0.225,40,10
plate_AL_4,plate_AL_5,P2,P2,1.0299,0.1782,0.7334,0.2198,0.165,0.034,50,0.026,2,10,0.75,0.5,15,0.45,0.02,2,50,0.225,40,10
plate_AL_4,plate_AL_6,P2,P2,1.0299,0.1782,0.7878,0.0473,0.165,0.034,50,0.026,2,10,0.75,0.5,15,0.45,0.02,2,50,0.225,40,10
