# nad,folinic_acid,coa,nucleo_mix,spermidin,pga,aa,trna,mg_gluta,camp,K_gluta,y_data,y_data_std,y_pr,y_std_pr
0.165,0.068,0.026,1.5,0.5,9,0.15,0.02,4,0.225,80,1.4025,0.0304,1.38507,0.056906
0.165,0.068,0.026,1.5,0.5,9,0.15,0.1,4,0.225,80,1.453,0.0055,1.374681,0.062832
0.165,0.068,0.078,1.5,0.1,9,1.5,0.02,4,0.075,80,2.7073,0.037,2.577342,0.061268
0.165,0.068,0.078,1.5,0.3,9,1.5,0.06,4,0.075,80,1.9594,0.1687,2.240344,0.044121
0.165,0.068,0.13,1.5,0.1,9,0.45,0.06,4,0.075,80,2.2884,0.1682,2.167973,0.073559
0.165,0.068,0.13,1.5,1,9,0.15,0.1,4,0.075,80,0.2494,0.074,0.358131,0.080079
0.33,0.0068,0.026,1.5,0.1,9,0.45,0.1,4,0.075,80,1.9458,0.038,2.143242,0.074897
0.33,0.0068,0.078,1.5,0.1,9,0.75,0.1,4,0.075,80,2.5519,0.0497,2.240435,0.086485
0.33,0.0068,0.078,1.5,0.1,9,1.5,0.02,4,0.375,80,1.9725,0.1682,2.114577,0.078985
0.33,0.0068,0.078,1.5,0.1,9,1.5,0.1,4,0.225,80,2.1496,0.0646,2.240441,0.047736
0.33,0.0204,0.026,1.5,0.1,9,1.5,0.2,4,0.375,80,2.1215,0.2133,2.098961,0.08505
0.33,0.0204,0.078,1.5,1,9,0.15,0.2,4,0.075,80,0.2546,0.0374,0.355496,0.126413
0.33,0.034,0.078,1.5,0.1,9,1.5,0.06,4,0.075,80,2.6628,0.0392,2.47006,0.064854
0.33,0.068,0.078,1.5,0.3,9,0.45,0.06,4,0.075,80,2.104,0.0971,1.928604,0.099641
0.33,0.068,0.26,0.45,1,30,1.5,0.2,4,0.75,80,0,0.094,-0.178626,0.174254
0.33,0.068,0.26,1.5,0.1,30,1.5,0.2,4,0.75,80,0.0354,0.063,0.4609,0.293378
