nad,folinic_acid,coa,nucleo_mix,spermidin,pga,aa,trna,mg_gluta,camp,K_gluta,AB,AB_std,OB,OB_std,PS,PS_std,rifaxamin,rifaxamin_std,spectomycin,spectomycin_std,DH5_alpha,DH5_alpha_std,model,model_std,In_20
0.033,0.0068,0.026,1.5,0.1,9,0.15,0.06,4,0.075,40,1.4527,0.1318,1.5382,0.0778,1.4668,0.0194,2.0125,0.0673,1.4355,0.0291,1.2593,0.0332,1.688515,0.043944,
0.099,0.034,0.026,1.5,0.1,9,0.15,0.06,4,0.075,40,1.6945,0.133,1.6249,0.0573,1.6521,0.0059,2.0118,0.0334,1.3663,0.031,1.2226,0.0415,1.775151,0.037648,
0.165,0.0204,0.078,1.5,0.1,9,0.15,0.1,4,0.075,40,1.0159,0.034,1.6264,0.0514,1.668,0.0129,2.2083,0.0119,1.4328,0.0269,1.2083,0.0135,1.7765,0.038462,
0.033,0.034,0.13,1.5,0.3,9,0.15,0.02,4,0.075,40,1.1557,0.0695,1.6375,0.0248,1.4498,0.023,1.7941,0.1189,1.4728,0.0536,1.1691,0.0643,1.647208,0.043653,yes
0.033,0.0068,0.026,1.5,0.5,9,0.75,0.06,4,0.075,40,1.1604,0.0346,1.6824,0.0326,1.5611,0.046,1.7668,0.0106,1.2387,0.0618,0.9821,0.007,1.621615,0.054573,
0.033,0.0204,0.078,1.5,0.5,9,0.45,0.1,4,0.075,40,1.1296,0.0886,1.7019,0.0357,1.3229,0.037,1.7315,0.0323,1.1855,0.0362,0.79,0.0127,1.56254,0.039656,
0.033,0.0068,0.078,1.5,0.3,9,1.5,0.2,4,0.075,40,1.9341,0.1117,1.7056,0.0211,1.6745,0.0426,2.3741,0.1282,1.3196,0.0443,0.8802,0.0121,2.08933,0.049799,
0.033,0.034,0.078,1.5,0.1,9,0.45,0.02,4,0.225,40,1.5108,0.1286,1.8142,0.0941,1.8297,0.0505,2.2671,0.1244,1.4038,0.044,1.1305,0.0476,1.987353,0.033616,
0.33,0.0068,0.026,1.5,0.1,9,0.45,0.1,4,0.075,40,1.9211,0.1375,1.9458,0.038,2.0051,0.0211,2.6104,0.0278,1.4624,0.0134,1.2145,0.0026,2.07356,0.055106,
0.165,0.068,0.078,1.5,0.3,9,1.5,0.06,4,0.075,40,2.1186,0.0738,1.9594,0.1687,1.7326,0.0413,2.5422,0.0957,1.2574,0.0396,0.8293,0.0126,2.214724,0.046599,
0.099,0.0068,0.026,1.5,0.3,9,0.15,0.2,4,0.075,40,1.2463,0.0939,1.9623,0.1101,1.4488,0.02,2.1366,0.0849,1.483,0.0413,1.0162,0.0477,1.795135,0.044976,yes
0.165,0.0068,0.026,1.5,0.3,9,1.5,0.1,4,0.075,40,2.1981,0.0487,1.9711,0.0225,1.9153,0.0524,2.6994,0.0327,1.22,0.0512,0.8153,0.0045,2.205731,0.054361,
0.33,0.0068,0.078,1.5,0.1,9,1.5,0.02,4,0.375,40,2.5543,0.2144,1.9725,0.1682,1.9747,0.0812,3.283,0.1397,1.1875,0.0978,0.9447,0.0129,2.076226,0.063423,
0.165,0.0068,0.078,1.5,0.1,9,0.15,0.1,4,0.075,40,1.0989,0.0968,1.9736,0.4812,1.5052,0.0118,1.8965,0.313,1.3103,0.1068,1.2469,0.021,1.757673,0.040151,
0.033,0.0204,0.026,1.5,0.3,9,0.45,0.1,4,0.075,40,1.6411,0.0537,2.0554,0.0745,1.6864,0.0359,2.2168,0.0315,1.3911,0.0683,0.9462,0.0365,2.002062,0.034997,
0.099,0.034,0.026,1.5,0.3,9,0.75,0.1,4,0.075,40,1.6893,0.1216,2.0771,0.1773,2.0138,0.029,2.2347,0.0492,1.3506,0.0699,0.9008,0.1453,2.245743,0.037329,
0.033,0.0068,0.026,1.5,0.3,9,1.5,0.2,4,0.075,40,2.0988,0.056,2.0894,0.1209,1.7474,0.0319,2.5399,0.0246,1.3393,0.0299,0.8676,0.0043,2.130748,0.05356,
0.33,0.068,0.078,1.5,0.3,9,0.45,0.06,4,0.075,40,1.5638,0.0446,2.104,0.0971,1.8905,0.0393,2.1548,0.0085,1.2109,0.0354,0.7653,0.0106,2.048223,0.050189,
0.165,0.0204,0.078,1.5,0.1,9,0.15,0.02,4,0.075,40,1.5632,0.1155,2.1071,0.5427,1.656,0.0356,2.0211,0.1715,1.3032,0.0346,1.2219,0.0401,1.807763,0.036121,
0.33,0.0204,0.026,1.5,0.1,9,1.5,0.2,4,0.375,40,2.4818,0.117,2.1215,0.2133,2.088,0.0545,3.4279,0.0511,1.3777,0.0593,0.9543,0.0093,2.126221,0.051127,
0.33,0.0068,0.078,1.5,0.1,9,1.5,0.1,4,0.225,40,2.5006,0.0272,2.1496,0.0646,2.05,0.0113,3.1164,0.2128,1.1001,0.0274,0.9079,0.0142,2.296859,0.048288,
0.033,0.034,0.026,1.5,0.1,9,1.5,0.06,2,0.075,40,2.0144,0.0606,2.1601,0.0247,1.7474,0.0334,2.748,0.0814,1.2107,0.1023,0.9721,0.0174,2.124027,0.062947,
0.033,0.0204,0.026,1.5,0.1,9,1.5,0.1,2,0.075,40,1.8405,0.1514,2.2248,0.012,1.6652,0.0368,2.7198,0.0382,1.1888,0.145,0.9738,0.013,2.156274,0.053975,yes
0.099,0.0068,0.078,1.5,0.1,9,0.75,0.2,4,0.225,40,2.0949,0.1605,2.2318,0.3808,1.9851,0.1111,2.6158,0.041,1.3711,0.0877,0.8959,0.0091,2.375981,0.046291,
0.099,0.0204,0.13,1.5,0.1,9,0.75,0.02,4,0.375,40,1.5786,0.0909,2.2501,0.0901,1.9887,0.121,2.4458,0.05,1.3216,0.0682,0.8642,0.0058,2.216167,0.055096,
0.165,0.0068,0.078,1.5,0.1,9,0.45,0.02,4,0.075,40,1.9068,0.0741,2.2771,0.0634,1.9262,0.0214,2.5029,0.0114,1.4923,0.0045,0.9537,0.0328,2.155559,0.034143,yes
0.165,0.068,0.13,1.5,0.1,9,0.45,0.06,4,0.075,40,1.6284,0.0918,2.2884,0.1682,2.0191,0.0215,2.3605,0.089,1.2059,0.0169,1.0109,0.0206,2.072992,0.035876,
0.033,0.0204,0.026,1.5,0.1,9,1.5,0.02,4,0.225,40,2.4224,0.0839,2.3002,0.1086,2.0762,0.0304,2.9598,0.0442,1.3953,0.02,1.0321,0.0339,2.378128,0.045651,yes
0.165,0.0204,0.078,1.5,0.1,9,0.75,0.02,4,0.375,40,1.7488,0.2096,2.3285,0.0916,2.0636,0.0904,2.4821,0.1064,1.2818,0.0723,0.8475,0.0179,2.274201,0.050093,
0.099,0.0204,0.026,1.5,0.1,9,1.5,0.06,4,0.075,40,2.4887,0.0186,2.3313,0.0895,2.1071,0.1182,2.9887,0.1319,1.4252,0.0307,0.9831,0.0146,2.588231,0.036312,yes
0.165,0.034,0.078,1.5,0.1,9,1.5,0.1,4,0.375,40,2.4791,0.0123,2.3906,0.1481,1.9977,0.0246,3.0277,0.0178,1.2229,0.1173,0.9482,0.021,2.2193,0.030624,yes
0.033,0.0068,0.078,1.5,0.1,9,1.5,0.2,4,0.375,40,2.339,0.0714,2.4178,0.0588,2.0194,0.0589,3.0465,0.0525,1.4894,0.1008,1.0492,0.0144,2.225534,0.062471,yes
0.033,0.034,0.026,1.5,0.1,9,1.5,0.02,4,0.075,40,2.3755,0.0527,2.4297,0.1016,2.1036,0.0124,2.9347,0.0022,1.3801,0.0934,1.0103,0.0071,2.518524,0.051904,
0.099,0.068,0.078,1.5,0.1,9,1.5,0.1,4,0.225,40,2.5608,0.0445,2.4921,0.137,2.0178,0.0978,3.0136,0.0486,1.4385,0.0569,0.9759,0.019,2.365368,0.034244,
0.165,0.034,0.026,1.5,0.1,9,1.5,0.1,4,0.075,40,2.6645,0.0932,2.5243,0.0132,2.0774,0.0371,3.004,0.0598,1.2914,0.0742,0.917,0.0018,2.649136,0.03824,yes
0.33,0.0068,0.078,1.5,0.1,9,0.75,0.1,4,0.075,40,1.9628,0.2127,2.5519,0.0497,2.0115,0.1161,2.6625,0.023,1.2201,0.1439,0.7788,0.0291,2.404888,0.041253,
0.033,0.0068,0.078,1.5,0.1,9,0.75,0.2,4,0.075,40,1.8789,0.0774,2.6437,0.0592,2.0018,0.0153,2.3208,0.0456,1.3207,0.0522,0.9223,0.0176,2.450234,0.046456,yes
0.099,0.034,0.026,1.5,0.1,9,0.75,0.2,4,0.075,40,2.1821,0.1526,2.6532,0.1262,2.0144,0.0775,2.6183,0.1062,1.3269,0.0457,0.8314,0.0237,2.538128,0.046978,
0.33,0.034,0.078,1.5,0.1,9,1.5,0.06,4,0.075,40,2.5993,0.0254,2.6628,0.0392,2.0157,0.0531,3.0256,0.1391,1.167,0.0184,0.8907,0.011,2.551606,0.0373,
0.165,0.034,0.078,1.5,0.1,9,0.75,0.02,4,0.075,40,2.0889,0.0726,2.7052,0.0688,2.2414,0.0026,2.5026,0.0369,1.2274,0.0173,0.8203,0.0458,2.499614,0.03561,
0.165,0.068,0.078,1.5,0.1,9,1.5,0.02,4,0.075,40,2.5219,0.0544,2.7073,0.037,2.1689,0.0144,3.0611,0.066,1.3462,0.0684,0.9379,0.0298,2.53702,0.037595,
0.099,0.0204,0.078,1.5,0.1,9,1.5,0.2,4,0.075,40,2.4912,0.0324,2.7213,0.1079,2.1416,0.0387,2.9922,0.0819,1.4119,0.0388,0.9612,0.0119,2.546927,0.048602,
0.033,0.068,0.13,1.5,0.1,9,1.5,0.06,4,0.075,40,2.3872,0.0464,2.7388,0.1263,2.0523,0.0549,2.8281,0.0483,1.5488,0.0093,1.0369,0.0068,2.40881,0.071797,
0.099,0.0068,0.026,1.5,0.1,9,1.5,0.1,4,0.075,40,2.5071,0.0429,2.9779,0.0772,2.154,0.0192,3.2029,0.0818,1.4795,0.0413,0.9664,0.0064,2.572633,0.039368,
