nad,folinic_acid,DNA,coa,RBS,peg,nucleo_mix,spermidin,pga,aa,trna,mg_gluta,hepes,camp,K_gluta,promoter,yield,yield_std,plaque_name,well_1
0.165,0.0204,50,0.078,10,2,0.45,0.3,9,0.45,0.1,0.4,50,0.225,12,10,0.6765,0.006,PS_full,G7
0.033,0.034,50,0.026,10,2,0.75,0.5,9,0.45,0.02,1.2,50,0.075,20,10,0.8681,0.026,PS_full,G12
0.099,0.034,50,0.026,10,2,0.75,0.1,15,0.45,0.02,1.2,50,0.075,20,10,1.0231,0.0446,PS_full,G15
0.165,0.068,50,0.026,10,2,1.5,0.5,9,0.15,0.1,4,50,0.225,40,10,1.0674,0.0367,PS_full,G18
0.099,0.068,50,0.026,10,2,1.5,1,9,0.15,0.06,4,50,0.225,40,10,0.0861,0.012,PS_full,G21
0.033,0.0068,50,0.13,10,2,0.75,0.1,9,0.45,0.1,2,50,0.075,20,10,1.1322,0.0208,PS_full,H2
0.099,0.0068,50,0.078,10,2,0.75,0.1,9,0.45,0.1,2,50,0.075,20,10,1.174,0.0308,PS_full,H3
0.165,0.0068,50,0.13,10,2,0.75,0.1,9,0.45,0.02,2,50,0.075,20,10,1.1752,0.0085,PS_full,H4
0.033,0.034,50,0.078,10,2,0.75,0.1,9,0.45,0.1,2,50,0.075,20,10,1.1231,0.0118,PS_full,H11
0.099,0.034,50,0.13,10,2,0.75,0.3,9,0.45,0.02,2,50,0.075,20,10,1.1527,0.0143,PS_full,H14
0.165,0.068,50,0.13,10,2,1.5,1,9,0.15,0.1,4,50,0.075,40,10,0.1566,0.0067,PS_full,H17
0.099,0.034,50,0.026,10,2,0.75,0.3,15,0.45,0.02,2,50,0.225,20,10,1.022,0.0248,PS_full,H20
0.099,0.034,50,0.078,10,2,0.75,0.3,15,0.45,0.02,2,50,0.075,20,10,1.0155,0.0302,PS_full,H21
0.165,0.034,50,0.026,10,2,0.75,0.1,15,0.45,0.06,2,50,0.075,20,10,1.1229,0.0914,PS_full,H22
0.165,0.0204,50,0.026,10,2,0.75,0.3,15,0.45,0.06,2,50,0.075,20,10,1.0704,0.1031,PS_full,H23
0.33,0.0204,50,0.078,10,2,1.5,1,9,0.15,0.2,4,50,0.075,40,10,0.1374,0.0047,PS_full,I10
0.033,0.034,50,0.026,10,2,0.75,0.3,15,0.45,0.1,2,50,0.225,20,10,0.9456,0.0336,PS_full,I13
0.165,0.0068,50,0.078,10,2,1.5,0.1,9,0.45,0.02,4,50,0.075,40,10,1.9262,0.0214,PS_full,I16
0.033,0.0204,50,0.026,10,2,1.5,0.3,9,0.45,0.1,4,50,0.075,40,10,1.6864,0.0359,PS_full,I19
0.033,0.034,50,0.078,10,2,1.5,0.1,9,0.45,0.02,4,50,0.225,40,10,1.8297,0.0505,PS_full,I20
0.033,0.0204,50,0.026,10,2,0.75,0.5,3,0.75,0.02,2,50,0.075,4,10,0.4217,0.0199,PS_full,J3
0.033,0.0204,50,0.078,10,2,1.5,0.5,9,0.45,0.1,4,50,0.075,40,10,1.3229,0.037,PS_full,J6
0.033,0.0068,50,0.078,10,2,1.5,1,9,0.45,0.06,4,50,0.075,40,10,0.1158,0.0228,PS_full,J9
0.33,0.0068,50,0.026,10,2,1.5,0.1,9,0.45,0.1,4,50,0.075,40,10,2.0051,0.0211,PS_full,J10
0.033,0.0068,50,0.026,10,2,1.5,1,9,0.45,0.1,4,50,0.075,40,10,0.0938,0.0205,PS_full,J11
0.033,0.0204,50,0.026,10,2,0.75,0.5,3,0.75,0.06,0.4,50,0.075,20,10,0.5533,0.0446,PS_full,J18
0.099,0.0068,50,0.026,10,2,0.15,0.1,15,0.75,0.06,2,50,0.375,4,10,0.5585,0.0126,PS_full,J21
0.033,0.034,50,0.078,10,2,1.5,1,9,0.45,0.1,4,50,0.075,40,10,0.1588,0.0113,PS_full,K2
0.165,0.068,50,0.13,10,2,1.5,0.1,9,0.45,0.06,4,50,0.075,40,10,2.0191,0.0215,PS_full,K3
0.033,0.0204,50,0.026,10,2,0.75,0.5,9,0.75,0.02,2,50,0.075,20,10,0.8131,0.0299,PS_full,K8
0.33,0.068,50,0.078,10,2,1.5,0.3,9,0.45,0.06,4,50,0.075,40,10,1.8905,0.0393,PS_full,K11
0.033,0.0068,50,0.026,10,2,1.5,0.5,9,0.75,0.06,4,50,0.075,40,10,1.5611,0.046,PS_full,K14
0.165,0.034,50,0.078,10,2,1.5,0.1,9,0.75,0.02,4,50,0.075,40,10,2.2414,0.0026,PS_full,K17
0.033,0.0068,50,0.078,10,2,1.5,0.1,9,0.75,0.2,4,50,0.075,40,10,2.0018,0.0153,PS_full,K20
